datetime,temp,precip,preciptype,snow,severerisk
2014-01-01,-11,0,snow,0.6,
2014-01-02,-16.3,1.686,snow,1.6,
2014-01-03,-16.6,0.197,snow,0,
2014-01-04,-2.8,0,"rain,snow",1.2,
2014-01-05,-0.3,6.782,"rain,snow",2.1,
2014-01-06,-5.8,15.102,"rain,snow",0.8,
2014-01-07,-18,0.396,snow,0,
2014-01-08,-11.1,0,,0,
2014-01-09,-7.6,0,snow,0.8,
2014-01-10,-0.1,1.686,"rain,snow",0.7,
2014-01-11,4.5,9.382,rain,0,
2014-01-12,2.3,0,,0,
2014-01-13,4.5,0.007,rain,0,
2014-01-14,3.1,0.001,rain,0,
2014-01-15,-0.4,0,,0,
2014-01-16,-1.9,0.001,"rain,snow",1.1,
2014-01-17,0.5,1.199,"rain,snow",0.6,
2014-01-18,-3.5,0.444,"rain,snow",0.1,
2014-01-19,-4.4,0.763,snow,0.6,
2014-01-20,-7.8,0.797,"rain,snow",0.4,
2014-01-21,-17.2,0.436,snow,0,
2014-01-22,-16.2,0.003,snow,0,
2014-01-23,-14.4,0.01,snow,0.3,
2014-01-24,-12.1,0,snow,0.2,
2014-01-25,-6.9,1.478,snow,1.2,
2014-01-26,-10.4,0.901,snow,3.9,
2014-01-27,-9.6,2.056,snow,2.3,
2014-01-28,-14.8,0.195,snow,0,
2014-01-29,-12.6,0,,0,
2014-01-30,-5.4,0,,0,
2014-01-31,-0.6,0.002,"rain,snow",0.6,
2014-02-01,0.1,10.352,"rain,snow",3.7,
2014-02-02,-2,3.438,"rain,snow",2,
2014-02-03,-6,0.195,snow,0,
2014-02-04,-6.8,0.195,snow,2.9,
2014-02-05,-6.8,8.556,snow,9.4,
2014-02-06,-9.2,0.39,snow,4.6,
2014-02-07,-10.7,0,,0,
2014-02-08,-11.4,0,,0,
2014-02-09,-9.4,1.376,snow,0.6,
2014-02-10,-9.2,0.242,snow,0.4,
2014-02-11,-10.4,0,,0,
2014-02-12,-9.5,0,,0,
2014-02-13,-5.2,0,,0,
2014-02-14,-2.5,0.001,"rain,snow",0,
2014-02-15,-5.6,0,,0,
2014-02-16,-10.5,0.008,snow,0.1,
2014-02-17,-8.5,0,snow,3.8,
2014-02-18,-1.7,4.936,"rain,snow",3.2,
2014-02-19,1.9,0.409,"rain,snow",0,
2014-02-20,0.7,12.189,"rain,snow",0,
2014-02-21,2.8,8.64,"rain,snow",0.5,
2014-02-22,2.1,0,,0,
2014-02-23,-1.9,0,,0,
2014-02-24,-6.1,0,,0,
2014-02-25,-7.8,0,,0,
2014-02-26,-11.3,0.001,snow,0,
2014-02-27,-11.4,0.241,snow,0,
2014-02-28,-13.2,0,,0,
2014-03-01,-5,1.64,"rain,snow",3.8,
2014-03-02,-11.3,2.05,snow,2.3,
2014-03-03,-14.4,0.195,snow,0,
2014-03-04,-11.1,0.594,snow,0.3,
2014-03-05,-7.5,0.199,snow,0.2,
2014-03-06,-6.2,0.013,snow,0,
2014-03-07,-1.2,0.24,"rain,snow",0,
2014-03-08,-0.3,0,,0,
2014-03-09,-3.9,0,,0,
2014-03-10,3.3,0,,0,
2014-03-11,6.1,0,,0,
2014-03-12,-2.8,8.909,"rain,snow",8.9,
2014-03-13,-11.1,0.001,snow,5.3,
2014-03-14,2.2,0,,0,
2014-03-15,1.6,0,,0,
