datetime,temp,precip,preciptype,snow,severerisk
2018-01-01,-12.8,0.196,snow,0,
2018-01-02,-9.3,0.007,snow,1.2,
2018-01-03,-7.9,0.197,snow,0.7,
2018-01-04,-11.5,0.195,snow,0,
2018-01-05,-17.9,0,,0,
2018-01-06,-18.7,0.001,snow,0,
2018-01-07,-10.1,0.001,"rain,snow",0.6,
2018-01-08,0.8,49.128,"rain,snow",1,
2018-01-09,0.4,54.268,"rain,snow",0.4,
2018-01-10,1,0.753,"rain,snow",0,
2018-01-11,8.5,6.71,rain,0,
2018-01-12,1.1,18.96,"rain,snow",0.2,
2018-01-13,-12.5,0.196,snow,1.3,
2018-01-14,-9.4,0,,0,
2018-01-15,-6.9,2.017,snow,3,
2018-01-16,-5.2,0.967,snow,1.8,
2018-01-17,-7.2,0.198,snow,0,
2018-01-18,-5.5,22.612,snow,0,
2018-01-19,-0.7,18.089,"rain,snow",0,
2018-01-20,3.2,0,,0,
2018-01-21,2,0.001,rain,0,
2018-01-22,1.8,8.719,"rain,snow",0,
2018-01-23,3.1,4.034,"rain,snow",0,
2018-01-24,-6.6,0.195,snow,0,
2018-01-25,-5.9,0,,0,
2018-01-26,1.1,0,,0,
2018-01-27,6.1,0.637,rain,0,
2018-01-28,2,0.01,rain,0,
2018-01-29,-2.7,3.019,"rain,snow",4.2,
2018-01-30,-8.9,1.58,snow,2.5,
2018-01-31,-3.8,1.24,"rain,snow",0.6,
2018-02-01,-0.3,0,"rain,snow",0.4,
2018-02-02,-10.5,0.195,snow,0,
2018-02-03,-5.9,0.701,"rain,snow",0.6,
2018-02-04,-1.1,3.45,"rain,snow",1,
2018-02-05,-8.6,0.206,snow,0.4,
2018-02-06,-6.4,0.198,snow,0.7,
2018-02-07,-5.9,7.295,snow,4.6,
2018-02-08,-7.5,0,snow,2.5,
2018-02-09,-6.1,3.5,snow,3,
2018-02-10,-3.9,4.544,snow,4.2,
2018-02-11,-2.6,1.834,"rain,snow",2.4,
2018-02-12,-4.3,0.795,"rain,snow",0,
2018-02-13,-5.3,0,,0,
2018-02-14,2.1,0,,0,
2018-02-15,5.6,63.313,rain,0,
2018-02-16,0.2,0,,0,
2018-02-17,-2,0,,0,
2018-02-18,1,31.656,"rain,snow",0,
2018-02-19,2.9,6.051,rain,0,
2018-02-20,11.6,12.552,rain,0,
2018-02-21,8,11.093,rain,0,
2018-02-22,-0.3,0.139,"rain,snow",0,
2018-02-23,2.5,2.534,rain,0,
2018-02-24,3.5,0,,0,
2018-02-25,5.5,3.108,"rain,snow",0,
2018-02-26,4.3,0,,0,
2018-02-27,6.2,0,,0,
2018-02-28,5.9,0,,0,
