exact_date,exact_time,day_of_week,station,code,delay_min,gap_min,bound,line,vehicle,year,month,day,hour,min,at_station,line_simp,delay_type
2014-01-01,10:25:00 AM,Wednesday,COXWELL,MUTO,5,11,W,BD,5315,2014,1,1,10,25,1,BD,short
2014-01-01,11:04:00 AM,Wednesday,NORTH YORK CENTRE,SUEAS,9,14,S,YU,5411,2014,1,1,11,4,1,YU,short
2014-01-01,11:20:00 AM,Wednesday,DUFFERIN,MUIR,7,12,W,BD,5015,2014,1,1,11,20,1,BD,short
2014-01-01,11:24:00 PM,Wednesday,ST GEORGE,EUDO,3,8,S,YU,5576,2014,1,1,23,24,1,YU,short
2014-01-01,12:04:00 PM,Wednesday,QUEEN,SUO,4,8,S,YU,5681,2014,1,1,12,4,1,YU,short
2014-01-01,12:21:00 AM,Wednesday,VICTORIA PARK,MUPR1,55,60,W,BD,5111,2014,1,1,0,21,1,BD,long
2014-01-01,2:06:00 AM,Wednesday,HIGH PARK,SUDP,3,7,W,BD,5001,2014,1,1,2,6,1,BD,short
2014-01-01,3:10:00 AM,Wednesday,LANSDOWNE,SUDP,3,8,W,BD,5116,2014,1,1,3,10,1,BD,short
2014-01-01,3:20:00 AM,Wednesday,BLOOR YONGE,MUSAN,5,10,S,YU,5386,2014,1,1,3,20,1,YU,short
2014-01-01,3:37:00 PM,Wednesday,QUEEN,MUI,5,9,S,YU,5511,2014,1,1,15,37,1,YU,short
2014-01-01,4:03:00 PM,Wednesday,DUPONT,MUPLB,4,8,N,YU,5536,2014,1,1,16,3,1,YU,short
2014-01-01,6:07:00 PM,Wednesday,KENNEDY,MUIR,5,10,W,BD,5159,2014,1,1,18,7,1,BD,short
2014-01-01,6:39:00 PM,Wednesday,OSGOODE,MUIR,3,7,S,YU,5776,2014,1,1,18,39,1,YU,short
2014-01-01,7:08:00 PM,Wednesday,QUEEN,SUDP,5,9,S,YU,5362,2014,1,1,19,8,1,YU,short
2014-01-01,8:00:00 PM,Wednesday,FINCH,MUNOA,4,8,S,YU,0,2014,1,1,20,0,1,YU,short
2014-01-01,8:48:00 AM,Wednesday,KIPLING,MUNOA,5,0,E,BD,0,2014,1,1,8,48,1,BD,short
2014-01-01,8:49:00 AM,Wednesday,SHEPPARD YONGE,MUNOA,6,12,E,SHP,5276,2014,1,1,8,49,1,SHP,short
2014-01-01,8:55:00 AM,Wednesday,SHEPPARD YONGE,MUNOA,12,18,E,SHP,5282,2014,1,1,8,55,1,SHP,medium
2014-01-01,8:58:00 AM,Wednesday,KENNEDY,MUNOA,5,10,W,BD,0,2014,1,1,8,58,1,BD,short
2014-01-01,9:00:00 AM,Wednesday,JANE,MUNOA,5,0,W,BD,0,2014,1,1,9,0,1,BD,short
2014-01-01,9:00:00 AM,Wednesday,OLD MILL,MUNOA,5,0,W,BD,0,2014,1,1,9,0,1,BD,short
2014-01-01,9:01:00 AM,Wednesday,BLOOR YONGE,MUNOA,3,0,S,YU,0,2014,1,1,9,1,1,YU,short
2014-01-01,9:23:00 AM,Wednesday,SHEPPARD WEST,MUNOA,5,10,S,YU,0,2014,1,1,9,23,1,YU,short
2014-01-01,9:27:00 AM,Wednesday,SHEPPARD WEST,MUNOA,5,10,S,YU,0,2014,1,1,9,27,1,YU,short
2014-01-01,9:28:00 PM,Wednesday,SHEPPARD YONGE,MUNOA,5,10,E,SHP,5358,2014,1,1,21,28,1,SHP,short
2014-01-01,9:32:00 AM,Wednesday,SHEPPARD WEST,MUNOA,5,10,S,YU,0,2014,1,1,9,32,1,YU,short
2014-01-01,9:38:00 AM,Wednesday,BAY,SUDP,5,10,E,BD,5214,2014,1,1,9,38,1,BD,short
2014-01-01,9:49:00 PM,Wednesday,BLOOR YONGE,SUUT,17,22,W,BD,5147,2014,1,1,21,49,1,BD,medium
2014-01-02,10:34:00 AM,Thursday,EGLINTON,TUNIP,3,6,N,YU,5791,2014,1,2,10,34,1,YU,short
2014-01-02,10:38:00 PM,Thursday,YORK MILLS,SUEAS,12,16,S,YU,5711,2014,1,2,22,38,1,YU,medium
2014-01-02,11:25:00 AM,Thursday,SHEPPARD WEST,EUDO,5,9,S,YU,5151,2014,1,2,11,25,1,YU,short
2014-01-02,11:47:00 PM,Thursday,DUPONT,EUDO,4,9,N,YU,5541,2014,1,2,23,47,1,YU,short
2014-01-02,12:12:00 AM,Thursday,MCCOWAN,ERWA,6,12,N,SRT,3027,2014,1,2,0,12,1,SRT,short
2014-01-02,12:38:00 PM,Thursday,ELLESMERE,ERTC,9,15,S,SRT,3016,2014,1,2,12,38,1,SRT,short
2014-01-02,1:20:00 PM,Thursday,EGLINTON,MUNOA,7,11,S,YU,5796,2014,1,2,13,20,1,YU,short
2014-01-02,1:29:00 PM,Thursday,EGLINTON,MUNOA,5,8,S,YU,5431,2014,1,2,13,29,1,YU,short
2014-01-02,1:32:00 PM,Thursday,EGLINTON,MUNOA,8,12,N,YU,5641,2014,1,2,13,32,1,YU,short
2014-01-02,2:21:00 PM,Thursday,UNION,MUPAA,4,7,N,YU,5236,2014,1,2,14,21,1,YU,short
2014-01-02,2:42:00 PM,Thursday,SHEPPARD WEST,MUNOA,8,13,S,YU,5566,2014,1,2,14,42,1,YU,short
2014-01-02,3:35:00 PM,Thursday,LAWRENCE EAST,ERTC,7,11,N,SRT,3017,2014,1,2,15,35,1,SRT,short
2014-01-02,3:49:00 PM,Thursday,MIDLAND,ERTC,5,9,N,SRT,3017,2014,1,2,15,49,1,SRT,short
2014-01-02,4:00:00 PM,Thursday,YORK MILLS,PUSI,3,6,S,YU,5476,2014,1,2,16,0,1,YU,short
2014-01-02,4:06:00 PM,Thursday,YORK MILLS,PUSI,3,6,S,YU,5411,2014,1,2,16,6,1,YU,short
2014-01-02,4:17:00 PM,Thursday,ST CLAIR WEST,MUTO,5,8,S,YU,5576,2014,1,2,16,17,1,YU,short
2014-01-02,4:30:00 PM,Thursday,WILSON,MUNOA,3,7,S,YU,0,2014,1,2,16,30,1,YU,short
2014-01-02,4:41:00 PM,Thursday,DAVISVILLE,PUSIS,3,6,N,YU,5601,2014,1,2,16,41,1,YU,short
2014-01-02,5:55:00 AM,Thursday,EGLINTON,MUNOA,5,0,N,YU,0,2014,1,2,5,55,1,YU,short
2014-01-02,6:13:00 AM,Thursday,SHEPPARD WEST,MUTO,5,10,S,YU,5771,2014,1,2,6,13,1,YU,short
2014-01-02,6:40:00 AM,Thursday,PAPE,MUDD,3,6,W,BD,5210,2014,1,2,6,40,1,BD,short
2014-01-02,7:17:00 AM,Thursday,GREENWOOD,TUNOA,3,6,E,BD,5886,2014,1,2,7,17,1,BD,short
2014-01-02,7:40:00 AM,Thursday,KENNEDY,ERDO,4,9,N,SRT,3021,2014,1,2,7,40,1,SRT,short
2014-01-02,7:56:00 AM,Thursday,KENNEDY,MUSC,3,6,W,BD,5039,2014,1,2,7,56,1,BD,short
2014-01-02,8:05:00 AM,Thursday,NORTH YORK CENTRE,EUPI,5,8,N,YU,5581,2014,1,2,8,5,1,YU,short
2014-01-02,8:17:00 AM,Thursday,FINCH,MUTO,3,6,S,YU,5586,2014,1,2,8,17,1,YU,short
2014-01-02,8:28:00 AM,Thursday,DAVISVILLE,EUDO,8,11,S,YU,5287,2014,1,2,8,28,1,YU,short
2014-01-02,8:39:00 AM,Thursday,EGLINTON,PUTIS,6,9,S,YU,5586,2014,1,2,8,39,1,YU,short
2014-01-02,8:55:00 AM,Thursday,FINCH,MUTO,3,6,S,YU,5561,2014,1,2,8,55,1,YU,short
